property,version,outcome
reclaim-own-funds,v17,N!
reclaim-own-funds,v18,N!
reclaim-own-funds,v19,N!
reclaim-own-funds,v2,P!
reclaim-own-funds,v3,N!
reclaim-own-funds,v4,N!
reclaim-own-funds,v5,N!
reclaim-own-funds,v6,N!
reclaim-own-funds,v7,N!
reclaim-own-funds,v8,N!
reclaim-own-funds,v9,P!
wd-empties-balance,v1,N!
wd-empties-balance,v10,P!
wd-empties-balance,v11,N!
wd-empties-balance,v12,N!
wd-empties-balance,v13,N!
wd-empties-balance,v14,N!
wd-empties-balance,v15,N!
wd-empties-balance,v16,N!
wd-empties-balance,v17,N!
wd-empties-balance,v18,N!
wd-empties-balance,v19,N!
wd-empties-balance,v2,P!
wd-empties-balance,v3,N!
wd-empties-balance,v4,N!
wd-empties-balance,v5,N!
wd-empties-balance,v6,ERR
wd-empties-balance,v7,N!
wd-empties-balance,v8,N!
wd-empties-balance,v9,N!
wd-onlyif-goal-reached,v1,P!
wd-onlyif-goal-reached,v10,P!
wd-onlyif-goal-reached,v11,P!
wd-onlyif-goal-reached,v12,P!
wd-onlyif-goal-reached,v13,P!
wd-onlyif-goal-reached,v14,P!
wd-onlyif-goal-reached,v15,P!
wd-onlyif-goal-reached,v16,P!
wd-onlyif-goal-reached,v17,P!
wd-onlyif-goal-reached,v18,P!
wd-onlyif-goal-reached,v19,P!
wd-onlyif-goal-reached,v2,P!
wd-onlyif-goal-reached,v3,P!
wd-onlyif-goal-reached,v4,P!
wd-onlyif-goal-reached,v5,N!
wd-onlyif-goal-reached,v6,ERR
wd-onlyif-goal-reached,v7,P!
wd-onlyif-goal-reached,v8,P!
wd-onlyif-goal-reached,v9,P!
